Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
10139;4250589409053;SPAREPARTS;CUBE MECH HANGER #139 BLUE;11
10141000;8719325647006;COMPONENTS;ERE GENUS CT TUBULAR PRO 320TPI 700X26C SKINWALL;24
10141001;8719325647020;COMPONENTS;ERE GENUS CC CLINCHER PRO 320TPI 700X26C SKINWALL;1
10141002;8719325647013;COMPONENTS;ERE GENUS CT TUBULAR PRO 320TPI 700X24C SKINWALL;11
10141003;8719325647037;COMPONENTS;ERE GENUS CC CLINCHER PRO 320TPI 700X28C SKINWALL;93
10141004;8719325647044;COMPONENTS;ERE GENUS TU TUBELESS TIRE 120TPI 700X26C BLACK;21
10141005;8719325647051;COMPONENTS;ERE GENUS TU TUBELESS PRO 120TPI 700X28C BLACK;54
10141006;8719325647068;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X26C BLACK;153
10141007;8719325647075;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X28C BLACK;28
10141008;8719325648638;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X30C BLACK;63
10141130;8719325648645;COMPONENTS;ERE GENUS TU TUBELESS PRO 120TPI 700X30C BLACK;42
10141131;8719325648669;COMPONENTS;ERE GENUS CC CLINCHER PRO 320TPI 700X26C BLACK;1
10141200;8719992975693;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X26C SKINWALL;79
10141201;8719992975709;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X28C SKINWALL;96
10141202;8719992975716;COMPONENTS;ERE GENUS CL CLINCHER PRO 120TPI 700X30C SKINWALL;48
10141204;8719992975792;COMPONENTS;ERE GENUS CCX CLINCHER PRO 320TPI 700X26C SKINWALL;0
10141205;8719992975808;COMPONENTS;ERE GENUS CCX CLINCHER PRO 320TPI 700X28C SKINWALL;54
10141206;8719992975815;COMPONENTS;ERE GENUS CCR CLINCHER PRO 320TPI 700X26C SKINWALL;118
10141207;8719992975822;COMPONENTS;ERE GENUS CCR CLINCHER PRO 320TPI 700X28C SKINWALL;100
10141209;8719992975846;COMPONENTS;ERE GENUS CCX CLINCHER PRO 320TPI 700X26C BLACK;0
10141210;8719992975853;COMPONENTS;ERE GENUS CCX CLINCHER PRO 320TPI 700X28C BLACK;0
10141211;8719992975860;COMPONENTS;ERE GENUS CCR CLINCHER PRO 320TPI 700X26C BLACK;105
10141212;8719992975877;COMPONENTS;ERE GENUS CCR CLINCHER PRO 320TPI 700X28C BLACK;13
